label_1,mm_x_1,mm_y_1,row,col,xu_1,yu_1,image_path_1,label_2,mm_x_2,mm_y_2,xu_2,yu_2,image_path_2,_merge,dx_px,dy_px,err_px
P01_-79.940_29.960,-79.94,29.96,0,0,575.7009559574714,648.9533162666357,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_11-45-14\P01_-79.940_29.960.png,P01_-79.940_29.960,-79.94,29.96,572.9902485858714,647.4409675068538,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_09-57-14\P01_-79.940_29.960.png,both,-2.7107073715999377,-1.5123487597819576,3.1040510990736396
P02_-68.520_29.960,-68.52,29.96,0,1,632.0616010293645,646.1743869001118,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_11-45-14\P02_-68.520_29.960.png,P02_-68.520_29.960,-68.52,29.96,629.5412478905631,644.5340123355386,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_09-57-14\P02_-68.520_29.960.png,both,-2.520353138801397,-1.6403745645732215,3.0071595661628665
P03_-57.100_29.960,-57.1,29.96,0,2,692.1156324730076,644.4767933589194,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_11-45-14\P03_-57.100_29.960.png,P03_-57.100_29.960,-57.1,29.96,689.8540650189506,642.7038345878041,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_09-57-14\P03_-57.100_29.960.png,both,-2.261567454057058,-1.7729587711153272,2.873685813258801
P04_-45.680_29.960,-45.68,29.96,0,3,755.7767713864499,643.5716415086955,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_11-45-14\P04_-45.680_29.960.png,P04_-45.680_29.960,-45.68,29.96,753.4433779665179,641.8359152691713,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_09-57-14\P04_-45.680_29.960.png,both,-2.3333934199320083,-1.7357262395241833,2.908173040029557
P05_-34.260_29.960,-34.26,29.96,0,4,821.7118641147996,641.9305931196059,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_11-45-14\P05_-34.260_29.960.png,P05_-34.260_29.960,-34.26,29.96,819.6862122994088,639.8256287827578,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_09-57-14\P05_-34.260_29.960.png,both,-2.025651815390802,-2.10496433684807,2.921325065205563
P06_-22.840_29.960,-22.84,29.96,0,5,888.198353214943,642.6387625223206,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_11-45-14\P06_-22.840_29.960.png,P06_-22.840_29.960,-22.84,29.96,886.6278812974465,641.058727537979,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_09-57-14\P06_-22.840_29.960.png,both,-1.5704719174965476,-1.5800349843415233,2.227755057314067
P07_-11.420_29.960,-11.42,29.96,0,6,957.3939720503372,642.9902511721265,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_11-45-14\P07_-11.420_29.960.png,P07_-11.420_29.960,-11.42,29.96,956.2458471716144,641.0030402776304,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_09-57-14\P07_-11.420_29.960.png,both,-1.148124878722797,-1.9872108944961155,2.295037663382954
P08_0.000_29.960,0.0,29.96,0,7,1029.018432086452,642.9150681217379,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_11-45-14\P08_0.000_29.960.png,P08_0.000_29.960,0.0,29.96,1027.366440062611,640.9559240145717,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_09-57-14\P08_0.000_29.960.png,both,-1.6519920238411032,-1.959144107166253,2.562678926334487
P09_11.420_29.960,11.42,29.96,0,8,1099.046445553736,644.139476966855,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_11-45-14\P09_11.420_29.960.png,P09_11.420_29.960,11.42,29.96,1097.3843126645895,642.31333950479,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_09-57-14\P09_11.420_29.960.png,both,-1.6621328891465055,-1.8261374620650486,2.4693043092215032
P10_22.840_29.960,22.84,29.96,0,9,1170.1832755184885,644.1606945162005,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_11-45-14\P10_22.840_29.960.png,P10_22.840_29.960,22.84,29.96,1167.800393318743,642.3800842383449,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_09-57-14\P10_22.840_29.960.png,both,-2.3828821997453815,-1.7806102778555442,2.9746765436712925
P11_34.260_29.960,34.26,29.96,0,10,1238.7487647324635,645.2067878599314,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_11-45-14\P11_34.260_29.960.png,P11_34.260_29.960,34.26,29.96,1236.8632220462384,643.8133807445989,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_09-57-14\P11_34.260_29.960.png,both,-1.885542686225108,-1.3934071153324794,2.344537184741623
P12_45.680_29.960,45.68,29.96,0,11,1304.6667263917236,649.3593656679599,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_11-45-14\P12_45.680_29.960.png,P12_45.680_29.960,45.68,29.96,1302.7908857285377,647.4732058856338,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_09-57-14\P12_45.680_29.960.png,both,-1.8758406631859543,-1.8861597823261036,2.6601460332332088
P13_57.100_29.960,57.1,29.96,0,12,1368.7769131504192,651.7011146331324,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_11-45-14\P13_57.100_29.960.png,P13_57.100_29.960,57.1,29.96,1367.0021232600363,649.6045440790801,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_09-57-14\P13_57.100_29.960.png,both,-1.7747898903828627,-2.0965705540522777,2.7469050298698514
P14_68.520_29.960,68.52,29.96,0,13,1431.9004223633146,655.2891680265485,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_11-45-14\P14_68.520_29.960.png,P14_68.520_29.960,68.52,29.96,1429.5246750113283,653.4796620941687,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_09-57-14\P14_68.520_29.960.png,both,-2.3757473519863197,-1.8095059323798068,2.986383632386791
P15_79.940_29.960,79.94,29.96,0,14,1491.0303661101334,657.7966436327739,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_11-45-14\P15_79.940_29.960.png,P15_79.940_29.960,79.94,29.96,1489.0682182907497,656.1045935983349,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_09-57-14\P15_79.940_29.960.png,both,-1.9621478193837447,-1.6920500344390348,2.5909568472202547
P16_-79.940_25.680,-79.94,25.68,1,0,569.7398882219002,698.1459147765917,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_11-45-14\P16_-79.940_25.680.png,P16_-79.940_25.680,-79.94,25.68,568.7133889849024,696.620775861132,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_09-57-14\P16_-79.940_25.680.png,both,-1.026499236997779,-1.5251389154597064,1.8384094742484962
P17_-68.520_25.680,-68.52,25.68,1,1,626.9903596647114,696.1754289398776,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_11-45-14\P17_-68.520_25.680.png,P17_-68.520_25.680,-68.52,25.68,625.7821436875146,694.5208091141595,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_09-57-14\P17_-68.520_25.680.png,both,-1.2082159771968008,-1.6546198257181004,2.0487929654342865
P18_-57.100_25.680,-57.1,25.68,1,2,687.5877319052759,694.3590558600249,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_11-45-14\P18_-57.100_25.680.png,P18_-57.100_25.680,-57.1,25.68,686.5228340451495,692.6921903599756,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_09-57-14\P18_-57.100_25.680.png,both,-1.0648978601263934,-1.6668655000493118,1.9779909119499044
