label,mm_x,mm_y,row,col,xu,yu,image_path
P01_-79.940_29.960,-79.94,29.96,0,0,572.9902485858714,647.4409675068538,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_09-57-14\P01_-79.940_29.960.png
P02_-68.520_29.960,-68.52,29.96,0,1,629.5412478905631,644.5340123355386,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_09-57-14\P02_-68.520_29.960.png
P03_-57.100_29.960,-57.1,29.96,0,2,689.8540650189506,642.7038345878041,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_09-57-14\P03_-57.100_29.960.png
P04_-45.680_29.960,-45.68,29.96,0,3,753.4433779665179,641.8359152691713,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_09-57-14\P04_-45.680_29.960.png
P05_-34.260_29.960,-34.26,29.96,0,4,819.6862122994088,639.8256287827578,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_09-57-14\P05_-34.260_29.960.png
P06_-22.840_29.960,-22.84,29.96,0,5,886.6278812974465,641.058727537979,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_09-57-14\P06_-22.840_29.960.png
P07_-11.420_29.960,-11.42,29.96,0,6,956.2458471716144,641.0030402776304,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_09-57-14\P07_-11.420_29.960.png
P08_0.000_29.960,0.0,29.96,0,7,1027.366440062611,640.9559240145717,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_09-57-14\P08_0.000_29.960.png
P09_11.420_29.960,11.42,29.96,0,8,1097.3843126645897,642.31333950479,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_09-57-14\P09_11.420_29.960.png
P10_22.840_29.960,22.84,29.96,0,9,1167.800393318743,642.3800842383449,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_09-57-14\P10_22.840_29.960.png
P11_34.260_29.960,34.26,29.96,0,10,1236.8632220462384,643.8133807445989,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_09-57-14\P11_34.260_29.960.png
P12_45.680_29.960,45.68,29.96,0,11,1302.7908857285377,647.4732058856338,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_09-57-14\P12_45.680_29.960.png
P13_57.100_29.960,57.1,29.96,0,12,1367.0021232600363,649.6045440790801,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_09-57-14\P13_57.100_29.960.png
P14_68.520_29.960,68.52,29.96,0,13,1429.5246750113283,653.4796620941687,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_09-57-14\P14_68.520_29.960.png
P15_79.940_29.960,79.94,29.96,0,14,1489.0682182907497,656.1045935983349,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_09-57-14\P15_79.940_29.960.png
P16_-79.940_25.680,-79.94,25.68,1,0,568.7133889849024,696.620775861132,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_09-57-14\P16_-79.940_25.680.png
