label,mm_x,mm_y,row,col,xu,yu,image_path
P01_-79.940_29.960,-79.94,29.96,0,0,575.7009559574714,648.9533162666357,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_11-45-14\P01_-79.940_29.960.png
P02_-68.520_29.960,-68.52,29.96,0,1,632.0616010293645,646.1743869001118,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_11-45-14\P02_-68.520_29.960.png
P03_-57.100_29.960,-57.1,29.96,0,2,692.1156324730076,644.4767933589194,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_11-45-14\P03_-57.100_29.960.png
P04_-45.680_29.960,-45.68,29.96,0,3,755.7767713864499,643.5716415086955,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_11-45-14\P04_-45.680_29.960.png
P05_-34.260_29.960,-34.26,29.96,0,4,821.7118641147996,641.9305931196059,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_11-45-14\P05_-34.260_29.960.png
P06_-22.840_29.960,-22.84,29.96,0,5,888.198353214943,642.6387625223206,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_11-45-14\P06_-22.840_29.960.png
P07_-11.420_29.960,-11.42,29.96,0,6,957.3939720503372,642.9902511721265,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_11-45-14\P07_-11.420_29.960.png
P08_0.000_29.960,0.0,29.96,0,7,1029.018432086452,642.9150681217379,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_11-45-14\P08_0.000_29.960.png
P09_11.420_29.960,11.42,29.96,0,8,1099.046445553736,644.139476966855,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_11-45-14\P09_11.420_29.960.png
P10_22.840_29.960,22.84,29.96,0,9,1170.1832755184885,644.1606945162005,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_11-45-14\P10_22.840_29.960.png
